country,year,milk_prod_1000t,butter_prod_1000t,cheese_prod_1000t,milk_powder_prod_1000t,milk_delivered_to_dairies_1000t,milk_per_cow,dairy_cow_pop_1000,bovine_pop_1000,total_labour_awu,agri_output_basic_price_million_eur,cap_direct_payments_million_eur,Raw milk of cattle_Export value_1000 USD,Butter of cow milk_Export value_1000 USD,Cheese from whole cow milk_Export value_1000 USD,Whole milk powder_Export value_1000 USD,total_dairy_export_value_1000USD,export_per_cow,output_per_labour,milk_prod_growth_pct,export_growth_pct,lag_export_value,dairy_cow_share
Germany,2017,32614.17,488.11,2216.55,708.0,31937.03,7.767109390070516,4199.01,12365.5,477.6,58981.88,4815.138717,903578.0,688034.0,4070574.0,250097.0,5912283.0,1408.0183186036709,123.49639865996649,-0.22476385569591972,20.049426645229907,4924874.0,0.3395746229428652
Germany,2018,33109.66,474.88,2245.8,713.91,32490.94,8.073833293504292,4100.86,12093.38,474.0,55149.04,4794.347836,783874.0,691452.0,4202263.0,234932.0,5912521.0,1441.775871402584,116.34818565400845,1.5192476153770063,0.004025517723027505,5912283.0,0.3390995734856591
Germany,2019,33102.57,490.65,2297.4,707.61,32442.21,8.251568548758996,4011.67,11763.43,471.0,60516.08,4768.122546,825129.0,633853.0,4143603.0,226084.0,5828669.0,1452.9283315925786,128.48424628450107,-0.021413690143612385,-1.4182106076240597,5912521.0,0.3410289345879561
Germany,2020,33188.89,497.3,2355.12,725.01,32548.98,8.463509298951143,3921.41,11423.46,469.0,58832.58,4615.144863,773618.0,560440.0,4381951.0,220093.0,5936102.0,1513.7672418849343,125.4426012793177,0.26076525176141896,1.8431823800596714,5828669.0,0.34327690559602786
Germany,2021,32531.56,461.68,2360.9,666.39,31942.32,8.487851969358577,3832.72,11176.24,468.0,61590.27,4615.529013,859058.0,643606.0,4890791.0,245754.0,6639209.0,1732.244724373291,131.603141025641,-1.9805724144435044,11.844590945371225,5936102.0,0.34293465423076097
Germany,2022,32421.62,459.18,2334.21,684.64,31947.42,8.510236972795902,3809.72,10986.3,463.83,77923.88,4552.327449,819514.0,804266.0,5713647.0,379643.0,7717070.0,2025.6265552324057,168.00094862341808,-0.33794874884574,16.234780378204693,6639209.0,0.34677006817581896
Germany,2023,34033.75,468.88,2360.52,676.78,32423.69,9.166549953943363,3712.82,10936.8,463.74,76338.18,4552.327449,947638.0,752612.0,5919432.0,363599.0,7983281.0,2150.193384004611,164.6141803596843,4.972391879246008,3.4496382694468197,7717070.0,0.3394795552629654
Germany,2024,33792.59,477.45,2433.32,659.57,32124.7,9.414472492847054,3589.43,10626.83,453.19,75468.66,4552.327449,1017895.0,895005.0,6195032.0,338400.0,8446332.0,2353.112332598769,166.52763741477085,-0.708590737135939,5.800259316939993,7983281.0,0.3377705298757955
Ireland,2016,6871.94,229.8,206.1,393.3,6851.63,5.305575071608903,1295.23,7221.2,160.7,7444.21,1208.265278,16333.0,610323.0,671541.0,128216.0,1426413.0,1101.2816256572191,46.32364654635968,,,,0.1793649254971473
Ireland,2017,7498.94,257.5,219.9,442.9,7475.42,5.582475991960099,1343.3,7363.5,159.26,8533.21,1197.015135,28321.0,1018985.0,823062.0,216079.0,2086447.0,1553.2248939179633,53.5803717192013,9.1240610366214,46.2722928072024,1426413.0,0.1824268350648469
Ireland,2018,7831.25,270.3,225.4,463.0,7810.24,5.719998539186327,1369.1,7348.5,158.42,8657.61,1200.388737,26724.0,1298177.0,864862.0,184875.0,2374638.0,1734.4518296691258,54.649728569625054,4.431426308251574,13.812524353602074,2086447.0,0.18631013131931687
Ireland,2019,8244.87,284.6,278.4,497.8,8226.62,5.782789529794637,1425.76,7208.62,157.78,8498.24,1201.193657,24388.0,1212422.0,1061333.0,174046.0,2472189.0,1733.94470317585,53.86132589681835,5.281660015961709,4.108036677590432,2374638.0,0.19778542911125846
Ireland,2020,8561.47,293.9,285.4,522.7,8542.27,5.879928573881391,1456.05,7314.43,156.94,8930.9,1180.915413,63819.0,1125066.0,1091329.0,226654.0,2506868.0,1721.6908760001375,56.90646106792405,3.839963516707945,1.4027649180544,2472189.0,0.19906540906126655
Ireland,2021,9039.99,305.9,286.9,516.2,9018.37,6.005560464235652,1505.27,7358.88,156.94,10133.24,1179.668934,82245.0,1259379.0,1218459.0,200063.0,2760146.0,1833.6550917775548,64.56760545431375,5.589227083666715,10.103364038313934,2506868.0,0.20455150783814927
Ireland,2022,9108.28,299.4,282.5,600.9,9086.73,6.030735411935298,1510.31,7396.15,156.94,12920.56,1185.031845,96805.0,1729277.0,1326090.0,220760.0,3372932.0,2233.271315160464,82.32802344845163,0.7554211896252161,22.201216892149912,2760146.0,0.20420218627258777
Ireland,2023,8730.71,299.3,284.9,528.4,8709.56,5.778636008630846,1510.86,7341.48,167.25,11444.47,1185.031845,74147.0,1404066.0,1397642.0,224415.0,3100270.0,2051.990257204506,68.42732436472346,-4.14534906700279,-8.083827364441387,3372932.0,0.20579774105493714
Ireland,2024,8697.2,299.3,271.2,528.4,8678.63,5.871289601771406,1481.31,7183.13,167.25,12456.8,1185.031845,91814.0,1759712.0,1500104.0,134204.0,3485834.0,2353.2103340961717,74.48011958146486,-0.38381758184613535,12.436465211094516,3100270.0,0.20622068652523343
Italy,2016,12669.59,95.4,1232.23,,10773.15,6.148883507160988,2060.47,6183.18,1081.8,50843.43,3794.981101,34920.0,32659.0,2665573.0,8794.0,2741946.0,1330.7381325619883,46.99891846921797,,,,0.3332379131773618
Italy,2017,12983.23,91.22,1261.13,,11902.24,6.363985275303783,2040.11,6118.29,1061.8,52401.14,3675.691608,46269.0,40196.0,3003224.0,8611.0,3098300.0,1518.6926195156145,49.351233754002635,2.4755339359837203,12.996390155021299,2741946.0,0.333444475498873
Italy,2018,13131.64,97.48,1308.03,,12070.75,6.77070142512426,1939.48,6170.29,1084.8,54842.66,3633.577996,35686.0,59047.0,3323315.0,16147.0,3434195.0,1770.6782230288532,50.555549410029506,1.1430899706775577,10.841267792014975,3098300.0,0.3143255827521883
Italy,2019,13300.1,94.03,1327.3,25.76,11965.01,7.090663851747595,1875.72,6016.06,1072.0,54323.74,3599.133346,28495.0,56383.0,3468676.0,25126.0,3578680.0,1907.8967010001493,50.67513059701492,1.282855759067414,4.207245074901111,3434195.0,0.3117854542674109
Italy,2020,13509.51,92.25,1344.69,,11894.79,7.219433860426341,1871.27,6115.87,1028.0,54210.18,3554.260058,30651.0,68879.0,3532189.0,23450.0,3655169.0,1953.309249867737,52.73363813229572,1.5744994398538381,2.1373523198497724,3578680.0,0.3059695513475597
Italy,2021,13997.97,94.15,1374.23,,13042.03,7.589567169277315,1844.37,6173.66,1057.7,57940.48,3543.905592,33242.0,81389.0,4172571.0,30838.0,4318040.0,2341.200518334174,54.77969178405975,3.615675179928801,18.135166937561564,3655169.0,0.2987482303852172
Italy,2022,13971.68,94.46,1359.08,34.88,12808.16,7.491517426273458,1865.0,6086.97,1060.7,69109.42,3551.963907,32611.0,88493.0,4608782.0,18598.0,4748484.0,2546.104021447721,65.15453945507683,-0.1878129471630463,9.96850422877047,4318040.0,0.30639217870303287
Italy,2023,13842.19,94.4,1344.11,35.41,12802.08,7.656078539823009,1808.0,5975.0,912.1,68268.51,3551.963907,25817.0,104186.0,5310733.0,40263.0,5480999.0,3031.5259955752213,74.847615393049,-0.9268033622298777,15.426291843881113,4748484.0,0.3025941422594142
Italy,2024,13973.39,95.37,1358.59,35.57,12958.05,7.921422902494331,1764.0,5892.0,917.6,70213.96,3551.963907,23982.0,106152.0,5805028.0,39014.0,5974176.0,3386.721088435374,76.51913687881431,0.947826897333437,8.997939974081358,5480999.0,0.29938900203665986
Netherlands,2016,14825.0,248.0,911.0,355.0,14324.2,8.263656633221851,1794.0,4244.52,152.02,30488.19,734.734015,222142.0,732557.0,3256740.0,604565.0,4816004.0,2684.50613154961,200.55380870938032,,,,0.4226626332306126
Netherlands,2017,14822.0,248.0,896.0,420.0,14295.9,8.902102102102102,1665.0,4096.11,155.29,32031.91,720.299561,335430.0,1135158.0,3949827.0,798904.0,6219319.0,3735.3267267267265,206.2715564427845,-0.020236087689717852,29.13857629686354,4816004.0,0.4064832243274717
Netherlands,2018,14426.0,247.0,902.0,351.0,13880.8,9.295103092783505,1552.0,3897.13,159.89,31420.89,679.511638,353866.0,1230765.0,3985875.0,703798.0,6274304.0,4042.721649484536,196.515667021077,-2.671704223451621,0.8841000115929143,6219319.0,0.3982417830557359
Netherlands,2019,14944.0,229.53,953.26,357.92,13801.9,9.39874213836478,1590.0,3749.97,161.27,32755.31,666.189888,285284.0,1098608.0,3955122.0,643157.0,5982171.0,3762.3716981132075,203.10851367272275,3.590738943574112,-4.6560224050348875,6274304.0,0.4240033920271362
Netherlands,2020,14932.0,220.71,999.6,389.82,13986.6,9.516889738687063,1569.0,3766.3,160.6,31724.4,651.306999,191904.0,1028834.0,4133821.0,656893.0,6011452.0,3831.3906947100063,197.53673723536738,-0.08029978586723274,0.4894711301298482,5982171.0,0.4165892254998274
Netherlands,2021,14607.88,217.69,984.05,360.22,13603.4,9.400180180180179,1554.0,3731.75,161.02,34405.55,662.503163,263106.0,1255130.0,4435685.0,684808.0,6638729.0,4272.026383526383,213.672525152155,-2.170640235735344,10.434700302023536,6011452.0,0.41642660949956456
Netherlands,2022,14983.9,214.25,973.58,360.45,13762.0,9.54388535031847,1570.0,3766.14,156.7,40556.2,616.462954,236217.0,1635100.0,5425409.0,727172.0,8023898.0,5110.763057324841,258.81429483088704,2.574090148604724,20.864972798257007,6638729.0,0.41687244765197257
Netherlands,2023,15117.05,206.7,1019.24,344.69,13893.9,9.740367268041236,1552.0,3751.78,157.41,41511.28,616.462954,413497.0,1610362.0,5604595.0,627195.0,8255649.0,5319.361469072165,263.71437646909345,0.8886204526191488,2.888259546669203,8023898.0,0.41367031115896985
Netherlands,2024,14815.69,206.7,1009.16,345.33,13660.2,9.702481990831696,1527.0,3693.0,156.78,41312.5,616.462954,457134.0,1773153.0,5787320.0,607627.0,8625234.0,5648.483300589391,263.5061870136497,-1.9935106386497314,4.476752827064234,8255649.0,0.41348497156783104
Poland,2016,13251.56,204.36,805.99,180.28,11129.96,6.22168176909714,2129.9,5939.0,1937.1,22405.51,3354.84317,194628.0,142410.0,543350.0,38858.0,919246.0,431.5911545142964,11.566522120695886,,,,0.3586293988887018
Poland,2017,13702.38,213.72,840.63,178.1,11647.09,6.364615170235496,2152.9,6143.0,1675.8,24760.75,3364.597975,259881.0,312613.0,686950.0,53446.0,1312890.0,609.8239583817176,14.775480367585631,3.402014555267452,42.822487125317934,919246.0,0.350463942699007
Poland,2018,14179.21,222.66,855.59,196.0,11945.62,6.404051307529018,2214.1,6201.0,1675.8,24483.36,3387.285922,280513.0,365498.0,739775.0,41412.0,1427198.0,644.5950950724899,14.609953455066238,3.47990641041922,8.70659385020831,1312890.0,0.3570553136590872
Poland,2019,14511.49,224.45,867.95,194.15,12174.96,6.696889565739074,2166.9,6358.0,1675.8,25954.52,3402.20097,331503.0,247204.0,713151.0,64303.0,1356161.0,625.8530619779408,15.487838644229623,2.343430980992589,-4.977375248563964,1427198.0,0.34081472161056936
Poland,2020,14830.87,243.39,893.78,201.35,12457.39,6.976934656818931,2125.7,6344.0,1427.7,26405.78,3319.733594,355011.0,219063.0,760362.0,66469.0,1400905.0,659.0323187655831,18.495328150171602,2.200876684613373,3.2993132821250493,1356161.0,0.33507250945775535
Poland,2021,14890.27,232.17,919.71,190.6,12515.42,7.316366941823899,2035.2,6401.0,1427.5,27920.01,3328.477856,402645.0,235611.0,899241.0,63919.0,1601416.0,786.8592767295597,19.558676007005253,0.40051595085115466,14.31296197814984,1400905.0,0.317950320262459
Poland,2022,15218.08,247.23,925.74,188.83,12778.58,7.469802874420797,2037.28,6444.09,1427.5,39546.32,3374.272209,481443.0,479874.0,1035608.0,66427.0,2063352.0,1012.7974554307705,27.703201401050787,2.2015047410154365,28.84547175749461,1601416.0,0.3161470432597931
Poland,2023,15491.89,264.95,976.16,193.49,13020.61,6.905756174972028,2243.33,6359.68,1366.6,36942.35,3374.272209,491451.0,392283.0,1037022.0,65887.0,1986643.0,885.5776903086038,27.032306453973366,1.7992414286164937,-3.717688499102434,2063352.0,0.3527425908221797
Poland,2024,16049.76,258.06,1024.1,194.7,13525.65,8.187483420735813,1960.28,6335.85,1366.6,39512.44,3374.272209,521323.0,419401.0,1113161.0,49978.0,2103863.0,1073.2461689146448,28.912951851309824,3.601045450232343,5.900405860539615,1986643.0,0.30939495095369995
