country,year,agri_output_basic_price_million_eur,agri_output_producer_price_million_eur,agri_subsidies_million_eur,agri_taxes_million_eur
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2017,325566.85,322167.13,3758.83,359.11
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2018,329859.84,326568.54,3678.71,387.42
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2019,337915.29,334465.8,3844.21,394.71
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2020,333314.96,329778.34,3970.35,433.73
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2021,359564.6,356299.61,3847.54,582.55
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2022,429657.25,426344.36,3831.4,518.51
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2023,433473.81,429683.24,4383.91,593.34
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2024,429357.87,425667.58,4388.98,698.7
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2025,447610.87,443991.06,4347.91,728.1
Euro area – 21 countries (from 2026),2016,315152.8,311622.32,3884.2,353.71
Euro area – 21 countries (from 2026),2017,331853.46,328252.98,3959.59,359.11
Euro area – 21 countries (from 2026),2018,336376.76,332867.52,3896.67,387.42
Euro area – 21 countries (from 2026),2019,344549.25,340869.57,4074.4,394.71
Euro area – 21 countries (from 2026),2020,339759.03,335977.51,4215.25,433.73
Euro area – 21 countries (from 2026),2021,367845.66,364350.72,4077.49,582.55
Euro area – 21 countries (from 2026),2022,439499.2,435977.08,4040.64,518.51
Euro area – 21 countries (from 2026),2023,438870.26,434953.05,4510.55,593.34
Euro area – 21 countries (from 2026),2024,434321.21,430498.56,4521.35,698.7
Euro area – 21 countries (from 2026),2025,452811.36,449054.58,4484.88,728.1
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2016,410309.09,405450.37,5212.43,353.71
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2017,434564.62,429805.38,5118.35,359.11
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2018,439532.73,434838.9,5081.25,387.42
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2019,451637.16,446790.11,5241.76,394.71
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2020,414936.34,410012.22,5357.85,433.73
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2021,451796.81,447041.6,5337.76,582.55
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2022,541764.49,536951.9,5331.11,518.51
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2023,536771.4,531015.67,6349.07,593.34
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2024,531671.35,526372.66,5997.39,698.7
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2025,562512.06,557649.87,5590.29,728.1
European Union - 27 countries (from 2020),2016,382250.28,377445.41,5158.58,353.71
European Union - 27 countries (from 2020),2017,404929.69,400223.15,5065.64,359.11
European Union - 27 countries (from 2020),2018,409623.62,404982.04,5029.0,387.42
European Union - 27 countries (from 2020),2019,420812.04,416018.58,5188.17,394.71
European Union - 27 countries (from 2020),2020,414936.34,410012.22,5357.85,433.73
European Union - 27 countries (from 2020),2021,451796.81,447041.6,5337.76,582.55
European Union - 27 countries (from 2020),2022,541764.49,536951.9,5331.11,518.51
European Union - 27 countries (from 2020),2023,536771.4,531015.67,6349.07,593.34
European Union - 27 countries (from 2020),2024,531671.35,526372.66,5997.39,698.7
European Union - 27 countries (from 2020),2025,562512.06,557649.87,5590.29,728.1
European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,2016,397802.92,391928.36,6235.34,360.79
European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,2017,420131.12,414340.98,6151.44,361.3
European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,2018,424187.98,418500.87,6076.15,389.04
European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,2019,436420.14,430496.33,6321.26,397.45
European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,2020,430766.97,424757.53,6445.38,435.94
European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,2021,467857.18,461982.62,6459.49,584.92
European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,2022,560065.23,554060.81,6524.67,520.26
European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,2023,554963.22,548074.85,7484.12,595.75
European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,2024,550204.68,543760.19,7145.4,700.91
European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,2025,581890.56,575936.57,6684.32,730.33
Finland,2016,4532.4,4173.69,358.71,
Finland,2017,4474.02,4117.98,356.04,
Finland,2018,4588.13,4231.48,356.65,
Finland,2019,5120.87,4763.77,357.11,
Finland,2020,4813.15,4457.13,356.03,
Finland,2021,4676.14,4314.51,361.63,0.0
Finland,2022,5822.34,5459.57,362.77,0.0
Finland,2023,5508.24,5119.82,388.41,0.0
Finland,2024,5506.64,5120.17,386.47,0.0
Finland,2025,5507.52,5123.78,383.74,0.0
France,2016,70485.7,69325.72,1177.61,17.62
France,2017,73152.38,72010.93,1158.49,17.04
France,2018,78139.89,77016.54,1139.1,15.76
France,2019,77792.69,76644.78,1147.91,0.0
France,2020,75101.33,73925.06,1176.26,0.0
France,2021,81310.16,80129.57,1180.59,0.0
France,2022,97269.11,96045.71,1223.4,0.0
France,2023,96984.88,95804.68,1180.2,0.0
France,2024,88307.98,87184.88,1123.1,0.0
France,2025,90844.1,89714.13,1129.97,0.0
Germany,2016,54163.0,54180.0,,17.0
Germany,2017,58981.88,58981.88,,
Germany,2018,55149.04,55149.04,,
Germany,2019,60516.08,60516.08,,
Germany,2020,58832.58,58832.58,,
Germany,2021,61590.27,61590.27,,
Germany,2022,77923.88,77923.88,,
Germany,2023,76338.18,76338.18,0.0,0.0
Germany,2024,75468.66,75468.66,0.0,0.0
Germany,2025,78659.57,78659.57,0.0,0.0
Greece,2016,10890.97,10623.9,267.07,0.0
Greece,2017,11575.4,11224.47,350.93,0.0
Greece,2018,11312.31,10966.75,345.56,0.0
Greece,2019,11716.81,11362.8,354.01,0.0
Greece,2020,11677.16,11330.66,346.5,0.0
Greece,2021,12120.7,11777.88,342.82,0.0
Greece,2022,14595.87,14249.33,346.54,0.0
Greece,2023,15647.66,15265.63,382.03,0.0
Greece,2024,16214.02,15784.75,429.27,0.0
Greece,2025,15802.86,15373.59,429.27,0.0
Hungary,2016,8300.48,7979.54,320.94,
Hungary,2017,8387.2,8064.75,322.44,
Hungary,2018,8427.85,8091.83,336.02,
Hungary,2019,8669.15,8339.04,330.11,
Hungary,2020,8398.47,8048.34,350.13,
Hungary,2021,9520.94,9187.95,332.99,
Hungary,2022,10398.36,10044.17,354.19,0.0
Hungary,2023,11547.65,11183.56,364.09,0.0
Hungary,2024,10555.25,10161.53,393.72,0.0
Hungary,2025,11131.01,10724.47,406.54,0.0
Iceland,2016,471.15,391.11,84.52,4.48
Iceland,2017,521.92,420.69,101.23,0.0
Iceland,2018,473.84,379.53,94.31,0.0
Iceland,2019,461.84,371.22,90.62,0.0
Iceland,2020,442.99,359.25,83.74,0.0
Iceland,2021,476.41,388.98,87.43,0.0
Iceland,2022,576.26,467.9,108.36,0.0
Iceland,2023,600.96,490.6,110.35,0.0
Iceland,2024,629.06,520.0,109.06,0.0
Iceland,2025,695.67,579.73,115.94,0.0
Ireland,2016,7444.21,7437.1,55.87,48.75
Ireland,2017,8533.21,8522.2,60.51,49.5
Ireland,2018,8657.61,8643.76,65.1,51.25
Ireland,2019,8498.24,8398.71,150.63,51.1
Ireland,2020,8930.9,8833.38,147.18,49.66
Ireland,2021,10133.24,10093.06,90.08,49.9
Ireland,2022,12920.56,12883.75,89.1,52.29
Ireland,2023,11444.47,11411.96,84.95,52.43
Ireland,2024,12456.8,12400.63,109.04,52.86
Ireland,2025,13977.68,13890.01,139.3,51.63
Italy,2016,50843.43,50666.43,184.0,7.0
Italy,2017,52401.14,52239.47,168.17,6.5
Italy,2018,54842.66,54706.39,142.48,6.21
Italy,2019,54323.74,54178.04,151.98,6.28
Italy,2020,54210.18,54074.94,141.34,6.09
Italy,2021,57940.48,57790.58,155.66,5.76
Italy,2022,69109.42,68976.97,137.32,4.87
Italy,2023,68268.51,68134.67,139.05,5.21
Italy,2024,70213.96,70088.99,130.03,5.05
Italy,2025,73560.29,73434.45,131.18,5.35
Latvia,2016,1315.9,1246.8,69.1,0.0
Latvia,2017,1407.32,1355.93,51.39,0.0
Latvia,2018,1345.38,1290.48,54.91,0.0
Latvia,2019,1629.33,1571.58,57.74,0.0
Latvia,2020,1727.16,1655.65,71.51,0.0
Latvia,2021,1769.09,1711.39,57.7,0.0
Latvia,2022,2354.77,2288.48,66.28,0.0
Latvia,2023,1874.23,1792.59,81.64,0.0
Latvia,2024,1935.6,1884.46,51.13,0.0
Latvia,2025,2124.17,2068.53,55.64,0.0
Lithuania,2016,2834.78,2510.72,324.06,0.0
Lithuania,2017,3141.64,2808.52,333.12,
Lithuania,2018,2907.68,2577.58,330.1,
Lithuania,2019,3209.39,2877.95,331.44,
Lithuania,2020,3486.41,3133.92,352.48,
Lithuania,2021,3743.25,3343.78,399.47,0.0
Lithuania,2022,5321.49,4908.0,413.49,0.0
Lithuania,2023,4379.17,3972.29,406.88,0.0
Lithuania,2024,4432.29,4020.75,411.54,0.0
Lithuania,2025,4516.24,4097.58,418.66,0.0
Luxembourg,2016,406.33,406.18,0.15,0.0
Luxembourg,2017,429.51,429.35,0.15,0.0
Luxembourg,2018,435.49,435.34,0.15,0.0
Luxembourg,2019,442.79,442.64,0.15,0.0
Luxembourg,2020,440.4,440.25,0.15,0.0
Luxembourg,2021,501.52,501.36,0.15,0.0
Luxembourg,2022,597.24,597.08,0.16,0.0
Luxembourg,2023,599.69,596.27,3.42,0.0
Luxembourg,2024,627.84,624.31,3.53,0.0
Luxembourg,2025,668.82,664.86,3.96,0.0
Malta,2016,126.53,126.12,0.41,
Malta,2017,121.78,121.78,0.0,
Malta,2018,121.17,121.17,0.0,
Malta,2019,126.4,126.4,0.0,
Malta,2020,121.09,121.09,0.0,
Malta,2021,122.37,122.37,0.0,
Malta,2022,138.36,138.36,0.0,0.0
Malta,2023,141.13,141.13,0.0,0.0
Malta,2024,142.74,142.74,0.0,0.0
Malta,2025,141.67,141.67,0.0,0.0
Netherlands,2016,30488.19,30579.57,134.8,226.17
Netherlands,2017,32031.91,32125.61,154.58,248.28
Netherlands,2018,31420.89,31524.89,169.67,273.67
Netherlands,2019,32755.31,32862.3,185.49,292.48
Netherlands,2020,31724.4,31796.25,262.49,334.34
Netherlands,2021,34405.55,34768.04,121.48,483.98
Netherlands,2022,40556.2,40925.71,48.48,417.99
Netherlands,2023,41511.28,41686.8,310.48,486.0
Netherlands,2024,41312.5,41636.5,260.0,584.0
Netherlands,2025,42120.06,42459.86,273.0,612.8
North Macedonia,2016,1457.73,1425.46,32.27,
North Macedonia,2017,1325.62,1289.96,35.66,
North Macedonia,2018,1438.17,1434.98,3.19,
North Macedonia,2019,1401.61,1368.28,33.33,
North Macedonia,2020,1477.0,1437.59,39.41,
North Macedonia,2021,1331.82,1295.07,36.75,
North Macedonia,2022,1538.05,1505.26,32.79,
North Macedonia,2023,1390.2,1390.2,0.0,0.0
Norway,2016,5066.66,4399.33,667.34,0.0
Norway,2017,4973.39,4307.22,666.18,0.0
Norway,2018,4657.05,4011.61,645.44,0.0
Norway,2019,4827.22,4197.77,629.45,0.0
Norway,2020,4676.71,4096.51,580.2,0.0
Norway,2021,5117.5,4509.49,608.01,0.0
Norway,2022,5921.78,5300.58,621.2,0.0
Norway,2023,5182.85,4631.72,551.13,0.0
Norway,2024,5336.98,4787.76,549.22,0.0
Norway,2025,5376.63,4896.8,479.83,0.0
Poland,2016,22405.51,21723.86,681.66,
Poland,2017,24760.75,24220.94,539.81,
Poland,2018,24483.36,23924.52,558.84,
Poland,2019,25954.52,25396.79,557.73,
Poland,2020,26405.78,25859.27,546.51,
Poland,2021,27920.01,27251.84,668.17,
Poland,2022,39546.32,38871.15,675.18,
Poland,2023,36942.35,35699.15,1243.2,0.0
Poland,2024,39512.44,38672.45,839.99,0.0
Poland,2025,45518.7,45057.29,461.4,0.0
Portugal,2016,7032.13,6855.55,202.55,25.97
Portugal,2017,7609.43,7448.39,186.89,25.85
Portugal,2018,7728.4,7560.26,195.95,27.81
Portugal,2019,8213.64,8043.77,196.44,26.57
Portugal,2020,8285.16,8093.49,213.91,22.24
Portugal,2021,9579.08,9374.27,230.13,25.32
Portugal,2022,10669.55,10457.06,237.5,25.01
Portugal,2023,12522.07,12264.81,284.36,27.1
Portugal,2024,12533.36,12228.36,334.03,29.03
Portugal,2025,12557.28,12329.91,256.09,28.72
Romania,2016,15443.75,15443.75,,
Romania,2017,17180.46,17180.46,,
Romania,2018,18553.78,18553.78,,
Romania,2019,18963.83,18963.83,,
Romania,2020,16824.18,16824.18,,
Romania,2021,21107.1,21107.1,,
Romania,2022,22218.82,22218.82,,
Romania,2023,22215.2,22215.2,0.0,0.0
Romania,2024,20211.93,20211.93,0.0,0.0
Romania,2025,23355.57,23355.57,0.0,0.0
Slovakia,2016,2391.1,2362.32,28.78,
Slovakia,2017,2390.19,2364.03,26.16,
Slovakia,2018,2317.75,2290.87,26.88,
Slovakia,2019,2261.12,2233.31,27.81,
Slovakia,2020,2348.02,2325.04,22.98,
Slovakia,2021,2484.81,2463.63,21.18,
Slovakia,2022,3001.11,2982.59,18.52,0.0
Slovakia,2023,2914.02,2889.81,24.21,0.0
Slovakia,2024,2801.24,2761.57,39.67,0.0
Slovakia,2025,3133.92,3094.26,39.67,0.0
Slovenia,2016,1206.89,1206.89,,
Slovenia,2017,1153.01,1153.01,,
Slovenia,2018,1369.95,1369.95,,
Slovenia,2019,1325.15,1325.15,,
Slovenia,2020,1366.89,1366.89,,
Slovenia,2021,1323.03,1323.03,,
Slovenia,2022,1590.9,1590.9,0.0,0.0
Slovenia,2023,1580.67,1580.67,0.0,0.0
Slovenia,2024,1648.3,1648.3,0.0,0.0
Slovenia,2025,1722.26,1722.26,0.0,0.0
Spain,2016,48411.62,47625.46,786.16,0.0
Spain,2017,50640.76,49862.66,778.1,0.0
Spain,2018,52144.46,51366.19,778.26,0.0
Spain,2019,51788.97,51009.52,779.44,0.0
Spain,2020,51787.22,51018.97,768.25,0.0
Spain,2021,57253.2,56487.14,766.07,0.0
Spain,2022,63068.36,62292.95,775.42,0.0
Spain,2023,66701.43,65825.87,875.56,0.0
Spain,2024,68747.15,67871.59,875.56,0.0
Spain,2025,73912.95,73039.27,873.67,0.0
Sweden,2016,5986.58,5856.52,130.06,0.0
Sweden,2017,6462.46,6330.62,131.84,0.0
Sweden,2018,5968.64,5838.23,130.41,0.0
Sweden,2019,6046.06,5917.52,128.53,0.0
Sweden,2020,6195.81,6067.07,128.74,0.0
Sweden,2021,7130.58,7004.44,126.15,0.0
Sweden,2022,8329.85,8199.98,129.87,0.0
Sweden,2023,7116.79,6995.02,121.76,0.0
Sweden,2024,7503.04,7382.68,120.36,0.0
Sweden,2025,8198.09,8072.05,126.04,0.0
Switzerland,2016,10014.83,9692.51,324.91,2.6
Switzerland,2017,9706.12,9389.92,318.39,2.19
Switzerland,2018,9433.47,9127.69,307.4,1.62
Switzerland,2019,10319.04,9908.76,413.02,2.73
Switzerland,2020,10710.93,10289.55,423.59,2.21
Switzerland,2021,10466.46,10042.56,426.28,2.37
Switzerland,2022,11802.69,11340.44,463.99,1.74
Switzerland,2023,12408.01,11936.86,473.56,2.41
Switzerland,2024,12567.29,12079.77,489.74,2.21
Switzerland,2025,13306.2,12810.17,498.26,2.23
United Kingdom,2016,28058.81,28004.96,53.86,
United Kingdom,2017,29634.93,29582.23,52.7,
United Kingdom,2018,29909.11,29856.86,52.25,
United Kingdom,2019,30825.12,30771.53,53.59,0.0
United Kingdom,2020,29108.59,29055.67,52.92,0.0
