STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,so_eur,Standard output in Euros,crops,Crops,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,BE,Belgium,2020,,60,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,BE,Belgium,2023,,140,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,BG,Bulgaria,2005,,3480,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,BG,Bulgaria,2007,,3770,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,BG,Bulgaria,2010,,13090,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,BG,Bulgaria,2013,,3750,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,BG,Bulgaria,2016,,1810,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,BG,Bulgaria,2020,,1030,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,BG,Bulgaria,2023,,350,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,CH,Switzerland,2005,,406350,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,CH,Switzerland,2007,,406880,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,CH,Switzerland,2010,,,,,,C,confidential
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,CH,Switzerland,2016,,0,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,CH,Switzerland,2020,,0,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,CY,Cyprus,2005,,450,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,CY,Cyprus,2007,,390,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,CY,Cyprus,2010,,450,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,CY,Cyprus,2013,,260,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,CY,Cyprus,2016,,330,,u,low reliability,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,CY,Cyprus,2020,,510,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,CY,Cyprus,2023,,370,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,CZ,Czechia,2005,,620,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,CZ,Czechia,2007,,640,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,CZ,Czechia,2010,,280,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,CZ,Czechia,2013,,,,u,low reliability,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,CZ,Czechia,2016,,,,u,low reliability,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,CZ,Czechia,2020,,100,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,CZ,Czechia,2023,,,,,,C,confidential
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,DE,Germany,2005,,6230,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,DE,Germany,2007,,6820,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,DE,Germany,2010,,5340,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,DE,Germany,2013,,5410,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,DE,Germany,2016,,1800,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,DE,Germany,2020,,930,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,DE,Germany,2023,,1210,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,DK,Denmark,2005,,2610,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,DK,Denmark,2007,,2420,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,DK,Denmark,2010,,2940,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,DK,Denmark,2013,,1960,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,DK,Denmark,2016,,,,u,low reliability,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,DK,Denmark,2020,,1450,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,DK,Denmark,2023,,,,u,low reliability,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,EE,Estonia,2005,,660,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,EE,Estonia,2007,,570,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,EE,Estonia,2010,,4270,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,EE,Estonia,2013,,2910,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,EE,Estonia,2016,,270,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,EE,Estonia,2020,,170,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,EE,Estonia,2023,,210,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,EL,Greece,2005,,,,u,low reliability,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,EL,Greece,2007,,12650,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,EL,Greece,2010,,9590,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,EL,Greece,2013,,12050,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,EL,Greece,2016,,8200,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,EL,Greece,2020,,10210,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,EL,Greece,2023,,7000,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,ES,Spain,2005,,28990,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,ES,Spain,2007,,50480,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,ES,Spain,2010,,120110,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,ES,Spain,2013,,132370,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,ES,Spain,2016,,68500,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,ES,Spain,2020,,53380,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,ES,Spain,2023,,48930,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2005,,196730,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2007,,394590,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2010,,622990,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2013,,505640,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2016,,312710,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2020,,239950,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2023,,151130,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,EU27_2020,European Union - 27 countries (from 2020),2007,,387610,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,EU27_2020,European Union - 27 countries (from 2020),2010,,621220,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,EU27_2020,European Union - 27 countries (from 2020),2013,,503700,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,EU27_2020,European Union - 27 countries (from 2020),2016,,310400,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,EU27_2020,European Union - 27 countries (from 2020),2020,,239950,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,EU27_2020,European Union - 27 countries (from 2020),2023,,151130,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,FI,Finland,2005,,110,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,FI,Finland,2007,,6280,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,FI,Finland,2010,,10980,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,FI,Finland,2016,,0,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,FI,Finland,2020,,,,,,C,confidential
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,FI,Finland,2023,,20,,u,low reliability,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,FR,France,2005,,,,u,low reliability,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,FR,France,2007,,15530,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,FR,France,2010,,17580,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,FR,France,2013,,7730,,u,low reliability,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,FR,France,2016,,,,u,low reliability,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,FR,France,2020,,7900,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,FR,France,2023,,7670,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,HR,Croatia,2007,,,,u,low reliability,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,HR,Croatia,2010,,,,u,low reliability,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,HR,Croatia,2013,,,,u,low reliability,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,HR,Croatia,2016,,670,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,HR,Croatia,2020,,830,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,HR,Croatia,2023,,550,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,HU,Hungary,2005,,11770,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,HU,Hungary,2007,,16940,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,HU,Hungary,2010,,11930,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,HU,Hungary,2013,,10040,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,HU,Hungary,2016,,8770,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,HU,Hungary,2020,,12100,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,HU,Hungary,2023,,6720,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,IE,Ireland,2005,,230,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,IE,Ireland,2007,,130,,u,low reliability,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,IE,Ireland,2010,,130,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,IE,Ireland,2013,,90,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,IE,Ireland,2016,,,,,,C,confidential
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,IE,Ireland,2020,,80,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,IS,Iceland,2010,,0,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,IT,Italy,2005,,57890,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,IT,Italy,2007,,56280,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,IT,Italy,2010,,84520,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,IT,Italy,2013,,41500,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,IT,Italy,2016,,38180,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,IT,Italy,2020,,41620,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,IT,Italy,2023,,27870,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,LT,Lithuania,2005,,1210,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,LT,Lithuania,2007,,680,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,LT,Lithuania,2010,,2700,,,,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,LT,Lithuania,2013,,,,u,low reliability,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,LT,Lithuania,2016,,1650,,u,low reliability,,
dataflow,ESTAT:EF_FSI_LUS$DEFAULTVIEW(1.0),Main farm land use,A,Annual,KE0,Zero euros,ARA,Arable land,HA,Hectare,LT,Lithuania,2020,,370,,,,,
