DATAFLOW,LAST UPDATE,freq,milkitem,dairyprod,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Belgium,2016,3881.51,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Belgium,2017,4025.41,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Belgium,2018,4178.89,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Belgium,2019,4288.22,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Belgium,2020,4431,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Belgium,2021,4380.84,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Belgium,2022,4513.38,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Belgium,2023,4661.13,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Belgium,2024,4626.53,e,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Belgium,2025,4511.54,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Bulgaria,2016,530.09,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Bulgaria,2017,592.49,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Bulgaria,2018,648.8,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Bulgaria,2019,658.77,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Bulgaria,2020,694.18,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Bulgaria,2021,679.06,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Bulgaria,2022,661.57,p,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Bulgaria,2023,689.53,p,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Bulgaria,2024,677.18,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Bulgaria,2025,664.37,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Switzerland,2016,3406.8,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Switzerland,2017,3409.54,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Switzerland,2018,3426.97,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Switzerland,2019,3372.09,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Switzerland,2020,3378.9,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Switzerland,2022,3309.9,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Switzerland,2023,3303.38,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Switzerland,2024,3304.82,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Cyprus,2016,200.23,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Cyprus,2017,216.38,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Cyprus,2018,228.29,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Cyprus,2019,238.18,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Cyprus,2020,272.06,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Cyprus,2021,298.11,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Cyprus,2022,286.25,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Cyprus,2023,303.91,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Cyprus,2024,304.45,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Cyprus,2025,323.68,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Czechia,2016,2793.2,b,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Czechia,2017,2979.34,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Czechia,2018,3033.02,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Czechia,2019,3073.49,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Czechia,2020,3192.02,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Czechia,2021,3128.74,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Czechia,2022,3172.61,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Czechia,2023,3222.94,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Czechia,2024,3277.25,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Czechia,2025,3397.22,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Germany,2016,31972.73,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Germany,2017,31937.03,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Germany,2018,32490.94,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Germany,2019,32442.21,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Germany,2020,32548.98,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Germany,2021,31942.32,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Germany,2022,31947.42,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Germany,2023,32423.69,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Germany,2024,32124.7,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Germany,2025,32493.05,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Denmark,2016,5376.29,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Denmark,2017,5494.18,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Denmark,2018,5615.21,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Denmark,2019,5614.69,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Denmark,2020,5666.5,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Denmark,2021,5643.85,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Denmark,2022,5663.98,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Denmark,2023,5685.49,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Denmark,2024,5692,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Denmark,2025,5733.2,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Estonia,2016,714.7,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Estonia,2017,726.8,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Estonia,2018,748.1,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Estonia,2019,763,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Estonia,2020,787.8,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Estonia,2021,799.2,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Estonia,2022,800.1,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Estonia,2023,859.5,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Estonia,2024,916.2,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Estonia,2025,918.26,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,European Free Trade Association,2017,5107.99,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,European Free Trade Association,2018,5149.15,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,European Free Trade Association,2019,5054.85,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,European Free Trade Association,2020,5079.46,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Greece,2016,619,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Greece,2017,614.3,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Greece,2018,620.2,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Greece,2019,631.1,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Greece,2020,652.18,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Greece,2021,659.92,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Greece,2022,647.78,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Greece,2023,628.75,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Greece,2024,618.87,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Greece,2025,602.73,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Spain,2016,6863.71,p,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Spain,2017,7013.9,p,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Spain,2018,7120.8,p,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Spain,2019,7265.21,p,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Spain,2020,7427.61,p,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Spain,2021,7471.71,p,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Spain,2022,7313.98,p,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Spain,2023,7330.27,p,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Spain,2024,7442.07,p,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,Spain,2025,7410.28,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,European Union - 15 countries (1995-2004),2016,130205.3,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,European Union - 15 countries (1995-2004),2017,133139.9,p,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,European Union - 15 countries (1995-2004),2018,134104.23,p,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,European Union - 15 countries (1995-2004),2019,,,C
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,European Union - 25 countries (2004-2006),2016,150261.44,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,European Union - 25 countries (2004-2006),2017,153917.25,p,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,European Union - 25 countries (2004-2006),2018,155171.06,p,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,European Union - 25 countries (2004-2006),2019,,,C
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,European Union - 27 countries (2007-2013),2016,151744.93,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,European Union - 27 countries (2007-2013),2017,155538.08,p,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,European Union - 27 countries (2007-2013),2018,156929.16,p,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,European Union - 27 countries (2007-2013),2019,,,C
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,European Union - 27 countries (from 2020),2016,137692.59,,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,European Union - 27 countries (from 2020),2017,140870.17,p,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,European Union - 27 countries (from 2020),2018,142194.53,p,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,European Union - 27 countries (from 2020),2019,,,C
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Product obtained,Raw cows' milk delivered to dairies,Thousand tonnes,European Union - 27 countries (from 2020),2020,,,C
