STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,wstatus,Labour force and employment status,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),CY,Cyprus,2023,,3040,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),CZ,Czechia,2010,,32600,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),CZ,Czechia,2013,,30410,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),CZ,Czechia,2016,,29660,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),CZ,Czechia,2020,,27270,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),CZ,Czechia,2023,,27850,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),DE,Germany,2010,,157330,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),DE,Germany,2013,,139620,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),DE,Germany,2016,,126700,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),DE,Germany,2020,,107960,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),DE,Germany,2023,,97370,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),DK,Denmark,2010,,10110,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),DK,Denmark,2013,,11630,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),DK,Denmark,2016,,10100,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),DK,Denmark,2020,,10110,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),DK,Denmark,2023,,12460,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),EE,Estonia,2010,,10550,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),EE,Estonia,2013,,9180,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),EE,Estonia,2016,,7380,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),EE,Estonia,2020,,5950,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),EE,Estonia,2023,,5460,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),EL,Greece,2010,,107630,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),EL,Greece,2013,,126680,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),EL,Greece,2016,,115860,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),EL,Greece,2020,,151420,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),EL,Greece,2023,,141920,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),ES,Spain,2010,,170210,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),ES,Spain,2013,,161810,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),ES,Spain,2016,,157750,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),ES,Spain,2020,,169460,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),ES,Spain,2023,,168120,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2010,,2949510,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2013,,3143550,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2016,,2836680,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2020,,2343980,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2023,,2236880,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),EU27_2020,European Union - 27 countries (from 2020),2010,,2956010,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),EU27_2020,European Union - 27 countries (from 2020),2013,,3085660,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),EU27_2020,European Union - 27 countries (from 2020),2016,,2781150,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),EU27_2020,European Union - 27 countries (from 2020),2020,,2343980,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),EU27_2020,European Union - 27 countries (from 2020),2023,,2236880,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),FI,Finland,2010,,17480,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),FI,Finland,2013,,15250,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),FI,Finland,2016,,34910,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),FI,Finland,2020,,12690,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),FI,Finland,2023,,10290,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),FR,France,2010,,203540,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),FR,France,2013,,171070,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),FR,France,2016,,167980,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),FR,France,2020,,158330,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),FR,France,2023,,152730,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),HR,Croatia,2010,,62490,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),HR,Croatia,2013,,71880,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),HR,Croatia,2016,,60940,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),HR,Croatia,2020,,60420,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),HR,Croatia,2023,,49740,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),HU,Hungary,2010,,120840,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),HU,Hungary,2013,,150160,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),HU,Hungary,2016,,125510,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),HU,Hungary,2020,,67630,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),HU,Hungary,2023,,54490,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),IE,Ireland,2010,,30820,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),IE,Ireland,2013,,31570,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),IE,Ireland,2016,,30480,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),IE,Ireland,2020,,30280,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),IE,Ireland,2023,,41650,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),IS,Iceland,2010,,1350,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),IS,Iceland,2020,,450,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),IT,Italy,2010,,213360,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),IT,Italy,2013,,189430,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),IT,Italy,2016,,186510,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),IT,Italy,2020,,178870,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),IT,Italy,2023,,201440,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),LT,Lithuania,2010,,62870,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),LT,Lithuania,2013,,64590,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),LT,Lithuania,2016,,63480,,,,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),LT,Lithuania,2020,,49720,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:EF_FSI_LFSEX$DEFAULTVIEW(1.0),Farm labour force by work status and sex of worker,A,Annual,F,Females,FLF_D_R,"Farm labour force, directly employed by the farm on a regular basis",AWU,Annual working unit (AWU),LT,Lithuania,2023,,38650,,i,value imputed by Eurostat or other receiving agencies,,
