STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,training,Training,age,Age class,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,CY,Cyprus,2020,,10370,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,CY,Cyprus,2023,,11340,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,CZ,Czechia,2005,,8260,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,CZ,Czechia,2010,,4480,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,CZ,Czechia,2013,,4910,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,CZ,Czechia,2016,,4910,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,CZ,Czechia,2020,,5050,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,CZ,Czechia,2023,,5130,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,DE,Germany,2005,,89210,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,DE,Germany,2010,,165230,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,DE,Germany,2013,,151690,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,DE,Germany,2016,,133520,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,DE,Germany,2020,,126100,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,DE,Germany,2023,,108200,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,DK,Denmark,2005,,20380,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,DK,Denmark,2010,,18210,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,DK,Denmark,2013,,16850,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,DK,Denmark,2016,,16340,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,DK,Denmark,2020,,16250,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,DK,Denmark,2023,,13300,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,EE,Estonia,2005,,2920,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,EE,Estonia,2010,,2740,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,EE,Estonia,2013,,2660,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,EE,Estonia,2016,,1870,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,EE,Estonia,2020,,1880,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,EE,Estonia,2023,,1680,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,EL,Greece,2005,,42250,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,EL,Greece,2010,,22790,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,EL,Greece,2013,,39050,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,EL,Greece,2016,,42490,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,EL,Greece,2020,,27550,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,EL,Greece,2023,,25660,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,ES,Spain,2005,,99300,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,ES,Spain,2010,,136610,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,ES,Spain,2013,,155710,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,ES,Spain,2016,,186720,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,ES,Spain,2020,,185800,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,ES,Spain,2023,,162460,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2005,,1363680,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2010,,2716580,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2013,,2216910,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2016,,2359350,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2020,,1584360,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2023,,1652640,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,EU27_2020,European Union - 27 countries (from 2020),2010,,2702030,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,EU27_2020,European Union - 27 countries (from 2020),2013,,2186970,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,EU27_2020,European Union - 27 countries (from 2020),2016,,2333140,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,EU27_2020,European Union - 27 countries (from 2020),2020,,1584360,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,EU27_2020,European Union - 27 countries (from 2020),2023,,1652640,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,FI,Finland,2005,,23110,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,FI,Finland,2010,,22780,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,FI,Finland,2013,,20920,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,FI,Finland,2016,,17080,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,FI,Finland,2020,,15290,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,FI,Finland,2023,,15020,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,FR,France,2005,,62190,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,FR,France,2010,,148170,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,FR,France,2013,,152260,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,FR,France,2016,,129340,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,FR,France,2020,,102790,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,FR,France,2023,,181960,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,HR,Croatia,2010,,6540,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,HR,Croatia,2013,,5940,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,HR,Croatia,2016,,11400,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,HR,Croatia,2020,,8470,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,HR,Croatia,2023,,7440,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,HU,Hungary,2005,,34960,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,HU,Hungary,2010,,64390,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,HU,Hungary,2013,,69810,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,HU,Hungary,2016,,72660,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,HU,Hungary,2020,,69130,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,HU,Hungary,2023,,65160,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,IE,Ireland,2005,,22460,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,IE,Ireland,2010,,21170,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,IE,Ireland,2013,,35620,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,IE,Ireland,2016,,33790,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,IE,Ireland,2020,,25760,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,IE,Ireland,2023,,48360,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,IS,Iceland,2010,,840,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,IT,Italy,2005,,140900,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,IT,Italy,2010,,1472370,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,IT,Italy,2013,,917260,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,IT,Italy,2016,,1048150,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,IT,Italy,2020,,388500,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,IT,Italy,2023,,439350,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,LT,Lithuania,2005,,48370,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,LT,Lithuania,2010,,35020,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,LT,Lithuania,2013,,33110,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,LT,Lithuania,2016,,33370,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,LT,Lithuania,2020,,39930,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,LT,Lithuania,2023,,31740,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,LU,Luxembourg,2005,,340,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,LU,Luxembourg,2010,,320,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,LU,Luxembourg,2013,,250,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,LU,Luxembourg,2016,,220,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,LU,Luxembourg,2020,,180,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,LU,Luxembourg,2023,,160,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,LV,Latvia,2005,,15680,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,LV,Latvia,2010,,10330,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,LV,Latvia,2013,,10750,,,,,
dataflow,ESTAT:EF_FSI_TRAINING$DEFAULTVIEW(1.0),Agricultural training of farm managers,A,Annual,BASIC,Basic training,TOTAL,Total,HLD,Holding,LV,Latvia,2016,,10820,,,,,
